epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8176,0.96502,2.69627,0.88074,0.00292,0.875,0.0035,0.00228,0.95206,3.83987,0.83968,0.000653333,0.000653333,0.000653333
2,141.908,0.89335,1.50305,0.8826,0.68325,0.62,0.66194,0.50729,0.9151,1.95026,0.85094,0.00129386,0.00129386,0.00129386
3,156.038,0.90957,1.19145,0.90634,0.97952,0.95672,0.98174,0.74775,0.86677,0.97424,0.83697,0.00190799,0.00190799,0.00190799
4,170.095,0.87831,0.99814,0.89179,0.98461,0.95961,0.98894,0.73693,0.92763,0.72459,0.84964,0.0018812,0.0018812,0.0018812
5,184.541,0.84439,0.81603,0.87933,0.96548,0.975,0.99209,0.7707,0.89575,0.57493,0.84097,0.0018416,0.0018416,0.0018416
6,199.016,0.80855,0.70931,0.87118,0.97674,0.97,0.99163,0.79343,0.78079,0.51844,0.82713,0.001802,0.001802,0.001802
7,213.49,0.83379,0.66543,0.87995,0.98432,0.95,0.98202,0.79342,0.76082,0.55116,0.82913,0.0017624,0.0017624,0.0017624
8,227.792,0.79146,0.63573,0.86628,0.97789,0.975,0.99337,0.81608,0.76648,0.48849,0.82647,0.0017228,0.0017228,0.0017228
9,241.911,0.78335,0.58348,0.8673,0.96926,0.965,0.98828,0.80323,0.76619,0.50002,0.82597,0.0016832,0.0016832,0.0016832
10,255.899,0.75483,0.5457,0.86748,0.98885,0.975,0.99242,0.80225,0.77181,0.43406,0.82658,0.0016436,0.0016436,0.0016436
11,270.648,0.75879,0.52017,0.86287,0.97505,0.97716,0.99177,0.82108,0.70618,0.42799,0.82195,0.001604,0.001604,0.001604
12,284.857,0.73392,0.49256,0.86018,0.97764,0.95,0.99193,0.81632,0.75807,0.49469,0.82593,0.0015644,0.0015644,0.0015644
13,299.014,0.71983,0.49866,0.8459,0.97537,0.9899,0.99373,0.82371,0.6853,0.40597,0.81937,0.0015248,0.0015248,0.0015248
14,313.493,0.69803,0.4623,0.85038,0.96894,0.975,0.99183,0.81958,0.71862,0.45463,0.82265,0.0014852,0.0014852,0.0014852
15,327.404,0.7299,0.48046,0.85578,0.99004,0.99449,0.99103,0.83965,0.67578,0.43279,0.81498,0.0014456,0.0014456,0.0014456
16,341.468,0.70481,0.48435,0.84539,0.99502,0.99945,0.9948,0.83615,0.70648,0.43544,0.81864,0.001406,0.001406,0.001406
17,355.557,0.67732,0.44949,0.84186,0.9797,0.98,0.99426,0.83817,0.69546,0.41016,0.81832,0.0013664,0.0013664,0.0013664
18,369.969,0.68698,0.46126,0.84603,0.9994,0.985,0.99426,0.85337,0.66269,0.39987,0.81823,0.0013268,0.0013268,0.0013268
19,384.996,0.69243,0.44657,0.84878,0.99484,0.96469,0.99299,0.85357,0.66993,0.42081,0.82071,0.0012872,0.0012872,0.0012872
20,399.251,0.70414,0.45899,0.86157,0.9901,0.985,0.99461,0.86125,0.66616,0.41314,0.81653,0.0012476,0.0012476,0.0012476
21,413.723,0.67349,0.44555,0.84829,0.98849,0.99,0.99465,0.85414,0.65148,0.39267,0.81463,0.001208,0.001208,0.001208
22,428.288,0.6781,0.42717,0.84089,0.98056,0.985,0.99446,0.85506,0.61303,0.39243,0.81294,0.0011684,0.0011684,0.0011684
23,442.811,0.65314,0.41918,0.84762,0.98999,0.98921,0.9947,0.85779,0.64345,0.39246,0.81343,0.0011288,0.0011288,0.0011288
24,457.525,0.64384,0.4275,0.82666,0.98514,0.99435,0.9947,0.85211,0.62203,0.38301,0.8144,0.0010892,0.0010892,0.0010892
