epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.479,1.00615,2.57333,0.99841,0.93212,0.79712,0.90623,0.68728,0.91476,1.61337,0.93463,0.000473025,0.000473025,0.000473025
2,213.976,0.91092,1.38822,0.98245,0.90079,0.83688,0.93765,0.71884,0.849,0.85291,0.92504,0.000886701,0.000886701,0.000886701
3,305.399,0.90711,1.08176,0.9891,0.83961,0.75809,0.84556,0.645,0.89258,1.06051,0.95896,0.0012375,0.0012375,0.0012375
4,388.771,0.88483,0.89246,0.9707,0.93973,0.91363,0.96704,0.76214,0.78609,0.6902,0.89251,0.00114606,0.00114606,0.00114606
5,474.351,0.85148,0.73637,0.96014,0.94927,0.91954,0.97452,0.7898,0.74865,0.59019,0.88625,0.00105174,0.00105174,0.00105174
6,616.169,0.77812,0.67814,0.93705,0.93234,0.92937,0.97847,0.78238,0.77124,0.57521,0.89719,0.00095743,0.00095743,0.00095743
7,701.563,0.75821,0.59515,0.93647,0.95764,0.94115,0.97898,0.79206,0.74459,0.51775,0.89509,0.000863116,0.000863116,0.000863116
8,790.516,0.73835,0.55383,0.91787,0.96741,0.96102,0.98645,0.81088,0.71883,0.4773,0.88494,0.000768802,0.000768802,0.000768802
9,891.572,0.70671,0.5148,0.90954,0.95803,0.95367,0.98552,0.81061,0.68947,0.45786,0.88071,0.000674488,0.000674488,0.000674488
10,982.932,0.6793,0.47583,0.89728,0.98205,0.95957,0.98716,0.83719,0.65945,0.44785,0.8635,0.000580174,0.000580174,0.000580174
11,1074.07,0.65698,0.43861,0.89488,0.98648,0.97548,0.99219,0.84123,0.66446,0.40469,0.86513,0.00048586,0.00048586,0.00048586
12,1164.37,0.64134,0.41332,0.88393,0.99054,0.98107,0.99088,0.84246,0.65034,0.3871,0.85627,0.000391546,0.000391546,0.000391546
13,1259.74,0.62104,0.3937,0.87046,0.99109,0.97891,0.99038,0.85197,0.61761,0.37436,0.85075,0.000297232,0.000297232,0.000297232
14,1347.64,0.59271,0.37071,0.86841,0.99343,0.98146,0.99012,0.85867,0.60044,0.354,0.84338,0.000202918,0.000202918,0.000202918
15,1433.43,0.57368,0.3547,0.86209,0.98607,0.98687,0.99186,0.86657,0.58052,0.33556,0.83961,0.000108604,0.000108604,0.000108604
